iter	Passed	Remaining
0	1	1159
1	2	1102
2	3	998
3	3	946
4	5	1068
5	6	1043
6	7	1028
7	8	1028
8	9	1007
9	10	999
10	11	1043
11	12	1033
12	13	1023
13	14	1011
14	15	997
15	16	987
16	17	1018
17	18	1008
18	19	997
19	20	988
20	21	980
21	21	972
22	23	1010
23	24	1003
24	25	996
25	26	995
26	27	988
27	28	981
28	29	1001
29	30	996
30	31	989
31	32	985
32	33	979
33	34	972
34	35	973
35	36	973
36	37	975
37	38	970
38	39	971
39	40	967
40	41	975
41	42	973
42	43	976
43	44	974
44	45	969
45	46	963
46	47	960
47	48	969
48	50	971
49	50	966
50	51	964
51	52	957
52	53	950
53	54	947
54	54	941
55	55	935
56	56	929
57	56	923
58	57	917
59	58	912
60	58	906
61	59	901
62	60	896
63	60	892
64	61	887
65	62	882
66	63	877
67	63	873
68	64	868
69	65	863
70	65	859
71	66	855
72	67	851
73	67	847
74	68	843
75	69	840
76	69	836
77	70	832
78	71	829
79	71	825
80	72	822
81	73	820
82	73	813
83	74	810
84	75	807
85	75	805
86	76	803
87	77	800
88	77	797
89	78	795
90	79	793
91	80	790
92	80	787
93	81	785
94	82	782
95	82	779
96	83	777
97	84	774
98	84	772
99	85	770
100	86	773
101	87	773
102	88	771
103	89	768
104	89	766
105	90	763
106	91	761
107	91	759
108	92	757
109	93	755
110	94	752
111	94	750
112	95	748
113	96	746
114	96	744
115	97	743
116	98	740
117	98	738
118	99	736
119	100	734
120	100	732
121	101	730
122	102	728
123	102	726
124	103	725
125	104	725
126	105	723
127	106	722
128	106	721
129	107	719
130	108	717
131	108	715
132	109	714
133	110	712
134	110	711
135	111	709
136	112	707
137	113	705
138	113	704
139	114	702
140	115	700
141	115	697
142	116	696
143	116	694
144	117	693
145	118	691
146	118	690
147	119	688
148	120	686
149	120	685
150	121	684
151	122	682
152	123	681
153	123	679
154	124	678
155	125	677
156	125	675
157	126	674
158	127	672
159	127	671
160	128	669
161	129	667
162	129	666
163	130	664
164	131	663
165	131	662
166	132	660
167	133	659
168	133	658
169	134	657
170	135	656
171	136	654
172	136	653
173	137	652
174	138	651
175	138	650
176	139	648
177	140	647
178	141	647
179	141	646
180	142	646
181	143	645
182	144	646
183	145	647
184	146	646
185	147	645
186	148	644
187	148	643
188	149	642
189	150	640
190	150	639
191	151	638
192	152	637
193	153	636
194	153	634
195	154	633
196	155	632
197	155	631
198	156	629
199	157	628
200	157	627
201	158	626
202	159	624
203	159	623
204	160	622
205	161	621
206	161	619
207	162	618
208	163	617
209	163	616
210	164	615
211	165	614
212	166	613
213	166	612
214	167	611
215	168	610
216	168	608
217	169	607
218	169	606
219	170	605
220	171	604
221	172	603
222	172	602
223	173	601
224	174	600
225	174	599
226	175	597
227	176	596
228	176	595
229	177	594
230	178	593
231	179	592
232	179	591
233	180	590
234	181	589
235	181	588
236	182	587
237	183	586
238	183	585
239	184	584
240	185	582
241	185	581
242	186	580
243	187	579
244	187	578
245	188	577
246	189	577
247	190	576
248	190	575
249	191	574
250	192	572
251	192	571
252	193	570
253	193	569
254	194	568
255	195	567
256	195	566
257	196	565
258	197	564
259	197	563
260	198	562
261	199	561
262	199	560
263	200	559
264	201	558
265	201	557
266	202	556
267	203	555
268	203	554
269	204	553
270	205	552
271	205	551
272	206	550
273	207	548
274	207	548
275	208	547
276	209	546
277	209	545
278	210	544
279	211	543
280	211	542
281	212	541
282	213	540
283	213	539
284	214	538
285	215	537
286	215	536
287	216	535
288	217	534
289	217	533
290	218	532
291	219	531
292	219	530
293	220	529
294	221	528
295	221	527
296	222	526
297	223	525
298	223	524
299	224	523
300	225	522
301	225	521
302	226	521
303	227	520
304	227	519
305	228	518
306	229	517
307	229	516
308	230	515
309	231	514
310	231	513
311	232	513
312	233	512
313	234	511
314	234	510
315	235	509
316	235	508
317	236	507
318	237	506
319	238	505
320	238	505
321	239	504
322	240	503
323	240	502
324	241	501
325	242	500
326	242	499
327	243	498
328	244	497
329	244	496
330	245	496
331	246	495
332	246	494
333	247	493
334	248	492
335	248	491
336	249	490
337	249	489
338	250	488
339	251	487
340	251	486
341	252	486
342	253	485
343	253	484
344	254	483
345	255	482
346	255	481
347	256	480
348	257	479
349	257	479
350	258	478
351	259	477
352	260	476
353	260	475
354	261	474
355	262	474
356	262	473
357	263	472
358	264	471
359	264	470
360	265	469
361	266	470
362	267	470
363	268	469
364	269	468
365	270	467
366	270	467
367	271	466
368	272	465
369	272	464
370	273	463
371	274	462
372	274	461
373	275	461
374	276	460
375	276	459
376	277	458
377	278	457
378	278	456
379	279	455
380	280	455
381	280	454
382	281	453
383	282	452
384	282	451
385	283	451
386	284	450
387	284	449
388	285	448
389	286	447
390	286	446
391	287	446
392	288	445
393	289	444
394	289	443
395	290	442
396	290	441
397	291	441
398	292	440
399	292	439
400	293	438
401	294	437
402	295	437
403	295	436
404	296	435
405	297	434
406	297	433
407	298	432
408	298	432
409	299	431
410	300	430
411	301	429
412	301	428
413	302	428
414	302	427
415	303	426
416	304	425
417	304	424
418	305	423
419	306	422
420	306	422
421	307	421
422	308	420
423	308	419
424	309	418
425	310	417
426	310	417
427	311	416
428	312	415
429	312	414
430	313	413
431	314	413
432	314	412
433	315	411
434	316	410
435	316	409
436	317	409
437	318	408
438	318	407
439	319	406
440	320	405
441	320	405
442	321	404
443	322	403
444	322	402
445	323	401
446	324	401
447	324	400
448	325	399
449	326	398
450	326	398
451	327	397
452	328	396
453	329	395
454	329	394
455	330	394
456	331	393
457	331	392
458	332	392
459	333	391
460	334	390
461	334	389
462	335	389
463	336	388
464	336	387
465	337	386
466	338	386
467	338	385
468	339	384
469	340	383
470	340	382
471	341	382
472	342	381
473	342	380
474	343	379
475	344	379
476	345	378
477	345	377
478	346	376
479	346	375
480	347	375
481	348	374
482	349	373
483	349	372
484	350	372
485	351	371
486	351	370
487	352	369
488	353	369
489	353	368
490	354	367
491	355	366
492	355	365
493	356	365
494	357	364
495	357	363
496	358	362
497	359	362
498	359	361
499	360	360
500	361	359
501	361	358
502	362	358
503	363	357
504	363	356
505	364	355
506	365	355
507	365	354
508	366	353
509	367	352
510	367	351
511	368	351
512	369	350
513	369	349
514	370	348
515	371	348
516	371	347
517	372	346
518	373	345
519	374	345
520	374	344
521	375	343
522	376	342
523	376	342
524	377	341
525	378	340
526	378	339
527	379	339
528	379	338
529	380	337
530	382	337
531	383	336
532	383	336
533	384	335
534	385	334
535	385	333
536	386	333
537	387	332
538	387	331
539	388	331
540	389	330
541	389	329
542	390	328
543	391	328
544	391	327
545	392	326
546	393	325
547	394	324
548	394	324
549	395	323
550	396	322
551	396	321
552	397	321
553	398	320
554	398	319
555	399	318
556	400	318
557	400	317
558	401	316
559	402	315
560	402	315
561	403	314
562	403	313
563	404	312
564	405	312
565	406	311
566	406	310
567	407	309
568	408	309
569	408	308
570	409	307
571	410	306
572	410	306
573	411	305
574	412	304
575	413	304
576	413	303
577	414	302
578	415	301
579	415	301
580	416	300
581	417	299
582	417	298
583	418	298
584	419	297
585	419	296
586	420	295
587	421	295
588	422	294
589	422	293
590	423	292
591	424	292
592	424	291
593	425	290
594	426	290
595	427	289
596	427	288
597	428	287
598	429	287
599	429	286
600	430	285
601	431	285
602	431	284
603	432	283
604	433	282
605	433	282
606	434	281
607	435	280
608	436	280
609	436	279
610	437	278
611	438	277
612	438	277
613	439	276
614	440	275
615	440	274
616	441	274
617	442	273
618	442	272
619	443	271
620	444	271
621	444	270
622	445	269
623	446	268
624	446	268
625	447	267
626	448	266
627	448	265
628	449	265
629	450	264
630	450	263
631	451	262
632	452	262
633	454	262
634	454	261
635	455	260
636	456	260
637	456	259
638	457	258
639	458	257
640	458	257
641	459	256
642	460	255
643	460	254
644	461	254
645	462	253
646	463	252
647	463	251
648	464	251
649	465	250
650	465	249
651	466	248
652	467	248
653	467	247
654	468	246
655	469	246
656	469	245
657	470	244
658	471	243
659	471	243
660	472	242
661	473	241
662	473	240
663	474	240
664	475	239
665	475	238
666	476	237
667	477	237
668	477	236
669	478	235
670	479	235
671	480	234
672	480	233
673	481	232
674	482	232
675	482	231
676	483	230
677	484	229
678	484	229
679	485	228
680	486	227
681	486	227
682	487	226
683	488	225
684	488	224
685	489	224
686	490	223
687	491	222
688	491	221
689	492	221
690	492	220
691	493	219
692	494	218
693	495	218
694	495	217
695	496	216
696	497	216
697	497	215
698	498	214
699	499	213
700	499	213
701	500	212
702	501	211
703	501	210
704	502	210
705	503	209
706	503	208
707	504	208
708	505	207
709	505	206
710	506	205
711	507	205
712	507	204
713	508	203
714	509	202
715	509	202
716	510	201
717	510	200
718	511	199
719	512	199
720	513	198
721	513	197
722	514	197
723	514	196
724	515	195
725	516	194
726	517	194
727	517	193
728	518	192
729	518	191
730	519	191
731	520	190
732	520	189
733	521	189
734	522	188
735	522	187
736	523	186
737	524	186
738	524	185
739	525	184
740	526	183
741	526	183
742	527	182
743	528	181
744	528	180
745	529	180
746	530	179
747	530	178
748	531	178
749	532	177
750	532	176
751	533	175
752	534	175
753	534	174
754	535	173
755	536	173
756	536	172
757	537	171
758	538	170
759	538	170
760	539	169
761	540	168
762	540	167
763	541	167
764	542	166
765	542	165
766	543	165
767	544	164
768	544	163
769	545	162
770	546	162
771	546	161
772	547	160
773	548	160
774	548	159
775	549	158
776	549	157
777	550	157
